"","vehicle","model","region","season","month","year","distance","efficiency","kwh"
"494","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Autumn",5,2021,2133,6.9,309.1
"495","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Winter",6,2021,1890,6.7,282.1
"496","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Winter",7,2021,1379,6.8,202.8
"497","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Winter",8,2021,1454,6.9,210.7
"498","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",9,2021,1094,7.1,154.1
"499","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",10,2021,1365,6.9,197.8
"500","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",11,2021,1574,6.8,231.5
"501","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Summer",12,2021,1861,6.8,273.7
"502","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Summer",1,2022,1053,6.8,154.9
"503","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Summer",2,2022,1694,6.8,249.1
"504","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Autumn",3,2022,1938,6.8,285
"505","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Autumn",4,2022,1835,6.9,265.9
"506","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Autumn",5,2022,1790,6.9,259.4
"507","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Winter",6,2022,1945,6.8,286
"508","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Winter",7,2022,2167,6.8,318.7
"509","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Winter",8,2022,1961,6.9,284.2
"510","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",9,2022,2402,6.9,348.1
"511","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",10,2022,1289,6.9,186.8
"512","e7d82b9b","Nissan Leaf (24 kWh) 2013-2016","Rodney","Spring",11,2022,1755,6.8,258.1
"513","bb31cb93","Nissan Leaf (40 kWh)","Waikato","Autumn",3,2018,2127,6.1,348.7
"514","bb31cb93","Nissan Leaf (40 kWh)","Waikato","Autumn",4,2018,1326,6,221
"515","bb31cb93","Nissan Leaf (40 kWh)","Waikato","Autumn",5,2018,1346,5.7,236.1
