"","year","month","weather_region","vehicle","model","region","season","distance","efficiency","kwh","economy","wh","HDD","CDD","avg_temp","time_month","date","predict_vehicle_econ","wh_pred"
"24259",2022,1,"auckland","78da48fc","Nissan Leaf (24 kWh) 2011-2012","Auckland","Summer",493,6.5,75.8,153.846153846154,75800,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,153.7489897996,75798.2519712029
"24260",2022,1,"auckland","a07eb290","Nissan Leaf (30 kWh)","Auckland","Summer",1685,6.9,244.2,144.927536231884,244200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,146.703993786861,247196.229530862
"24261",2022,1,"auckland","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",629,6.9,91.2,144.927536231884,91200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,140.058884965581,88097.0386433501
"24262",2022,1,"auckland","06abedae","Nissan Leaf (40 kWh)","Auckland","Summer",1416,6.9,205.2,144.927536231884,205200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,141.496274758641,200358.725058236
"24263",2022,1,"auckland","30e8aff9","Renault Zoe","Auckland","Summer",503,7,71.9,142.857142857143,71900,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,138.257612812127,69543.5792444997
"24264",2022,1,"auckland","f0c6f0f5","Nissan e-NV200 (24 kWh)","Auckland","Summer",591,5.7,103.7,175.438596491228,103700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,191.186431923474,112991.181266773
"24265",2022,1,"auckland","ee401bdc","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",396,7.1,55.8,140.845070422535,55800,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,137.650035694752,54509.4141351219
"24266",2022,1,"auckland","ec8dbf67","Nissan Leaf (40 kWh)","Auckland","Summer",1925,7.5,256.7,133.333333333333,256700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,151.891941466849,292391.987323685
"24267",2022,1,"auckland","ebc8621d","Nissan Leaf (40 kWh)","Auckland","Summer",1072,7,153.1,142.857142857143,153100,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,143.706860762604,154053.754737511
"24268",2022,1,"auckland","2512e85d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1222,7.9,154.7,126.582278481013,154700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,124.384311703567,151997.628901759
